mca_registration,gstin,cin,iso_certification,pan_number,tan_number,msme_registration,shop_license,import_export_code,professional_tax,website_quality,domain_age,ssl_certificate,linkedin_profile,glassdoor_reviews,employee_count,turnover,contact_number,office_address,epf_registration,website_quality_dup,email_domain,linkedin_activity,scam_reports,job_platform,salary_realism,upfront_payment,description_quality,interview_process,comm_channels,has_company_logo,has_questions,social_media,employee_reviews,physical_address,epf_registration_dup,fssai_license,sebi_approval,description,fraudulent
No,Yes,None,Yes,No,No,No,No,No,No,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Average,Outlook,Active,None,Indeed,High,Yes,Poor,In-Person,Email,No,Has Questions,Inactive,Positive,Present,Yes,No,None,Hiring marketing executive with good comm skills and sales experience,0
None,No,None,None,No,None,None,No,Yes,No,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Average,Company Domain,Inactive,Many,LinkedIn,Realistic,Yes,Poor,None,Call,Yes,Has Questions,Inactive,None,Present,Yes,No,None,Looking for software engineer with 2+ years experience in python and django,0
None,None,No,Yes,None,Yes,No,Yes,Yes,None,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Good,Gmail,Active,Many,Naukri,High,No,Poor,Video,WhatsApp,No,Has Questions,Inactive,None,Present,No,None,Yes,Looking for software engineer with 2+ years experience in python and django,1
None,Yes,None,No,No,No,No,None,No,No,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Average,Company Domain,Active,Few,WhatsApp,Realistic,No,Average,Video,Telegram,Yes,Has Questions,Active,Negative,None,Yes,None,None,Job opening in finance. CA preferred. Salary competitive,0
No,No,None,None,None,Yes,None,None,None,No,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Average,Company Domain,Inactive,Many,LinkedIn,Realistic,No,Average,Phone,Email,Yes,Has Questions,Inactive,Positive,Present,No,None,No,Looking for software engineer with 2+ years experience in python and django,1
None,Yes,No,Yes,None,No,None,Yes,None,No,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Good,Company Domain,Active,None,Indeed,High,Yes,Average,None,Call,No,Has Questions,Inactive,Positive,Present,No,Yes,None,Looking for software engineer with 2+ years experience in python and django,0
Yes,No,Yes,Yes,No,No,None,None,None,Yes,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Poor,Company Domain,Active,None,Naukri,Realistic,No,Average,None,Telegram,No,Has Questions,Active,None,Present,No,Yes,None,Hiring marketing executive with good comm skills and sales experience,1
None,Yes,No,Yes,None,No,No,Yes,Yes,No,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Good,Gmail,Active,Many,Indeed,Realistic,Yes,Good,None,WhatsApp,No,Has Questions,Active,None,Present,Yes,None,Yes,Looking for software engineer with 2+ years experience in python and django,0
No,Yes,Yes,Yes,None,No,None,None,Yes,No,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Excellent,Gmail,Inactive,Few,Indeed,High,Yes,Average,Video,Call,Yes,Has Questions,Inactive,None,None,Yes,Yes,No,Looking for software engineer with 2+ years experience in python and django,1
No,Yes,Yes,No,None,No,None,Yes,Yes,Yes,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Good,Outlook,Inactive,Many,Naukri,Realistic,No,Good,Phone,Call,Yes,Has Questions,Active,Positive,Present,Yes,Yes,Yes,Frontend developer required - html css js,0
Yes,Yes,No,Yes,No,Yes,No,None,None,No,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Excellent,Outlook,Active,Few,Telegram,High,No,Poor,In-Person,Email,No,Has Questions,Active,None,Present,Yes,Yes,No,Urgent requirement for developer. Apply now with resume,1
None,No,None,Yes,None,None,Yes,No,No,No,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Good,Gmail,Inactive,None,LinkedIn,High,No,Average,In-Person,Telegram,Yes,Has Questions,Active,None,Present,Yes,Yes,None,Frontend developer required - html css js,1
None,Yes,No,None,No,Yes,None,None,None,None,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Poor,Yahoo,Active,Few,Naukri,Low,Yes,Poor,In-Person,WhatsApp,No,Has Questions,Active,Positive,None,No,None,No,Frontend developer required - html css js,0
No,None,Yes,Yes,No,No,Yes,No,Yes,Yes,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Excellent,Company Domain,Inactive,Many,WhatsApp,Realistic,No,Average,In-Person,Telegram,Yes,Has Questions,Active,None,Present,No,No,None,Hiring marketing executive with good comm skills and sales experience,1
No,No,None,None,No,None,None,Yes,No,Yes,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Excellent,Yahoo,Active,Many,WhatsApp,High,No,Poor,None,Email,Yes,Has Questions,Active,None,None,No,None,Yes,Urgent requirement for developer. Apply now with resume,0
No,No,Yes,No,Yes,None,No,No,None,Yes,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Average,Outlook,Active,Many,WhatsApp,Realistic,No,Average,None,Email,Yes,Has Questions,Inactive,Negative,None,Yes,No,Yes,Job opening in finance. CA preferred. Salary competitive,0
None,Yes,Yes,Yes,None,No,Yes,None,No,No,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Good,Outlook,Active,Few,WhatsApp,Low,Yes,Average,Phone,WhatsApp,No,Has Questions,Inactive,None,None,Yes,Yes,No,Urgent requirement for developer. Apply now with resume,0
None,Yes,Yes,None,No,No,None,None,No,Yes,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Poor,Gmail,Inactive,Few,WhatsApp,High,Yes,Poor,In-Person,Email,No,Has Questions,Inactive,Negative,None,Yes,No,None,Urgent requirement for developer. Apply now with resume,0
No,Yes,Yes,No,None,Yes,No,None,None,Yes,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Poor,Company Domain,Inactive,Many,Indeed,Realistic,No,Good,Video,Call,Yes,Has Questions,Active,None,None,No,None,No,Hiring marketing executive with good comm skills and sales experience,1
Yes,No,Yes,No,No,None,No,Yes,Yes,None,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Good,Outlook,Active,Many,WhatsApp,Realistic,Yes,Good,Video,WhatsApp,No,Has Questions,Inactive,None,None,No,No,Yes,Looking for software engineer with 2+ years experience in python and django,0
No,None,None,None,Yes,No,None,No,No,Yes,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Good,Gmail,Inactive,None,WhatsApp,Low,Yes,Poor,Phone,WhatsApp,Yes,Has Questions,Inactive,Negative,None,Yes,None,No,Job opening in finance. CA preferred. Salary competitive,1
None,None,None,Yes,No,Yes,No,None,None,None,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Average,Yahoo,Inactive,Few,Indeed,Realistic,No,Poor,In-Person,WhatsApp,No,Has Questions,Active,Positive,None,Yes,No,None,Frontend developer required - html css js,1
None,Yes,Yes,None,None,Yes,None,Yes,No,Yes,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Good,Yahoo,Inactive,Many,Indeed,Realistic,Yes,Good,None,WhatsApp,Yes,Has Questions,Inactive,Positive,Present,Yes,No,None,Looking for software engineer with 2+ years experience in python and django,1
No,Yes,None,Yes,No,No,No,No,No,No,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Average,Outlook,Inactive,Few,Indeed,Low,No,Poor,None,Email,Yes,Has Questions,Inactive,Negative,Present,Yes,Yes,None,Looking for software engineer with 2+ years experience in python and django,0
No,Yes,Yes,Yes,No,None,Yes,Yes,None,No,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Good,Company Domain,Active,None,Telegram,Low,Yes,Good,Video,WhatsApp,No,Has Questions,Active,None,Present,No,No,No,Hiring marketing executive with good comm skills and sales experience,0
No,No,None,Yes,None,None,No,None,None,No,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Good,Company Domain,Active,Many,Indeed,High,No,Average,None,Telegram,Yes,Has Questions,Active,Negative,None,No,No,None,Looking for software engineer with 2+ years experience in python and django,0
Yes,Yes,None,None,Yes,No,Yes,None,None,No,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Good,Yahoo,Inactive,Few,Telegram,Low,No,Good,Phone,Email,No,Has Questions,Inactive,Positive,Present,Yes,None,No,Job opening in finance. CA preferred. Salary competitive,0
No,None,None,None,Yes,No,No,None,No,Yes,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Poor,Yahoo,Active,Few,LinkedIn,Realistic,Yes,Good,Video,WhatsApp,Yes,Has Questions,Inactive,None,None,No,No,None,Urgent requirement for developer. Apply now with resume,0
None,No,Yes,No,None,None,No,No,Yes,None,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Average,Company Domain,Inactive,Few,Indeed,Low,No,Average,In-Person,Telegram,Yes,Has Questions,Active,None,Present,Yes,Yes,No,Looking for software engineer with 2+ years experience in python and django,0
No,No,No,None,None,None,None,Yes,None,No,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Poor,Company Domain,Active,Few,Indeed,Realistic,Yes,Good,None,Call,No,Has Questions,Active,None,Present,Yes,Yes,None,Looking for software engineer with 2+ years experience in python and django,1
None,No,Yes,None,Yes,No,No,None,Yes,Yes,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Excellent,Outlook,Active,Many,WhatsApp,Low,Yes,Poor,Phone,WhatsApp,No,Has Questions,Inactive,Negative,Present,No,Yes,None,Looking for software engineer with 2+ years experience in python and django,1
Yes,Yes,Yes,None,None,Yes,No,No,No,No,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Poor,Company Domain,Active,Many,Indeed,High,Yes,Poor,In-Person,Call,Yes,Has Questions,Active,Negative,None,Yes,No,None,Frontend developer required - html css js,1
Yes,None,No,None,Yes,None,None,Yes,None,Yes,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Poor,Company Domain,Inactive,Few,Naukri,High,No,Poor,None,Telegram,Yes,Has Questions,Active,None,None,No,Yes,No,Frontend developer required - html css js,0
No,No,None,No,No,No,No,No,Yes,Yes,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Average,Gmail,Inactive,Many,Naukri,Low,Yes,Poor,In-Person,WhatsApp,No,Has Questions,Active,Positive,Present,Yes,Yes,No,Looking for software engineer with 2+ years experience in python and django,0
No,Yes,No,No,None,None,No,None,Yes,No,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Average,Company Domain,Active,None,Naukri,Low,Yes,Good,In-Person,Email,Yes,Has Questions,Inactive,Positive,Present,Yes,None,No,Hiring marketing executive with good comm skills and sales experience,0
None,No,None,Yes,No,Yes,Yes,Yes,Yes,No,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Excellent,Company Domain,Inactive,None,Telegram,High,No,Poor,Video,Call,No,Has Questions,Active,None,None,No,No,No,Hiring marketing executive with good comm skills and sales experience,0
No,No,Yes,Yes,None,No,Yes,None,Yes,Yes,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Good,Gmail,Inactive,Many,Telegram,Low,No,Poor,Video,WhatsApp,No,Has Questions,Inactive,Positive,None,Yes,No,Yes,Looking for software engineer with 2+ years experience in python and django,0
Yes,None,No,Yes,None,None,Yes,None,None,Yes,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Good,Outlook,Inactive,None,Telegram,High,Yes,Average,Phone,WhatsApp,No,Has Questions,Inactive,Negative,Present,Yes,Yes,No,Frontend developer required - html css js,1
No,Yes,Yes,No,Yes,None,No,None,No,Yes,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Good,Company Domain,Inactive,Many,LinkedIn,High,Yes,Average,Video,Email,No,Has Questions,Active,Negative,None,No,None,Yes,Hiring marketing executive with good comm skills and sales experience,0
Yes,None,None,None,No,No,No,None,Yes,Yes,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Average,Gmail,Inactive,Many,Indeed,High,No,Good,None,WhatsApp,No,Has Questions,Inactive,None,None,No,None,Yes,Urgent requirement for developer. Apply now with resume,0
No,None,None,Yes,Yes,None,Yes,Yes,Yes,Yes,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Good,Company Domain,Active,None,Indeed,High,Yes,Average,Video,Telegram,No,Has Questions,Inactive,Positive,Present,Yes,No,Yes,Frontend developer required - html css js,0
No,Yes,No,Yes,Yes,Yes,None,No,None,None,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Average,Company Domain,Active,Many,Telegram,High,No,Good,Video,Email,No,Has Questions,Inactive,Negative,Present,No,No,None,Urgent requirement for developer. Apply now with resume,0
None,Yes,No,None,No,No,None,No,No,Yes,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Average,Gmail,Inactive,None,WhatsApp,Realistic,No,Good,Video,Telegram,No,Has Questions,Inactive,Negative,None,No,Yes,No,Looking for software engineer with 2+ years experience in python and django,0
None,None,No,Yes,No,No,Yes,Yes,No,No,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Average,Gmail,Inactive,Many,WhatsApp,Realistic,No,Poor,Phone,Email,No,Has Questions,Inactive,None,None,Yes,Yes,No,Job opening in finance. CA preferred. Salary competitive,0
Yes,None,None,None,No,No,None,No,No,Yes,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Poor,Company Domain,Inactive,Many,Telegram,High,Yes,Poor,None,WhatsApp,Yes,Has Questions,Active,None,Present,Yes,No,No,Job opening in finance. CA preferred. Salary competitive,1
Yes,Yes,No,Yes,No,None,No,No,No,No,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Average,Yahoo,Active,Few,Indeed,Low,No,Poor,Phone,Telegram,Yes,Has Questions,Inactive,None,Present,No,None,Yes,Looking for software engineer with 2+ years experience in python and django,0
None,None,No,No,None,No,Yes,No,Yes,None,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Poor,Outlook,Active,Few,LinkedIn,High,Yes,Good,In-Person,Telegram,No,Has Questions,Inactive,None,Present,No,No,No,Frontend developer required - html css js,1
Yes,No,Yes,None,No,No,Yes,Yes,Yes,No,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Poor,Gmail,Inactive,None,Indeed,Realistic,No,Good,Phone,WhatsApp,No,Has Questions,Active,Negative,Present,Yes,No,None,Frontend developer required - html css js,1
No,No,No,None,No,Yes,None,Yes,None,Yes,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Average,Gmail,Active,Few,Indeed,Low,Yes,Poor,In-Person,WhatsApp,No,Has Questions,Inactive,None,Present,No,No,No,Urgent requirement for developer. Apply now with resume,1
Yes,Yes,Yes,Yes,Yes,No,None,None,Yes,None,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Poor,Yahoo,Inactive,Many,WhatsApp,Low,No,Good,Phone,Call,Yes,Has Questions,Inactive,None,None,No,No,No,Urgent requirement for developer. Apply now with resume,1
None,None,No,No,Yes,Yes,None,Yes,No,Yes,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Average,Outlook,Active,Many,WhatsApp,Realistic,Yes,Good,Video,WhatsApp,Yes,Has Questions,Active,Negative,Present,No,No,No,Hiring marketing executive with good comm skills and sales experience,0
No,No,Yes,None,No,Yes,No,None,No,None,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Good,Company Domain,Inactive,None,Naukri,High,Yes,Good,None,WhatsApp,Yes,Has Questions,Inactive,Positive,None,Yes,No,Yes,Hiring marketing executive with good comm skills and sales experience,0
No,None,Yes,None,No,No,No,None,Yes,Yes,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Excellent,Company Domain,Active,Few,Naukri,High,No,Poor,None,Email,Yes,Has Questions,Inactive,Negative,None,Yes,Yes,No,Urgent requirement for developer. Apply now with resume,1
Yes,No,Yes,None,Yes,None,No,None,None,None,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Poor,Outlook,Active,None,Indeed,Realistic,No,Poor,Video,Telegram,No,Has Questions,Inactive,None,None,Yes,Yes,None,Frontend developer required - html css js,0
No,Yes,None,No,No,None,No,No,No,None,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Poor,Outlook,Inactive,None,LinkedIn,High,Yes,Average,Video,Call,Yes,Has Questions,Active,Negative,Present,No,None,No,Looking for software engineer with 2+ years experience in python and django,0
No,Yes,No,No,None,No,None,Yes,No,None,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Good,Yahoo,Active,Many,Naukri,Realistic,Yes,Good,Video,Telegram,Yes,Has Questions,Inactive,None,Present,No,None,None,Urgent requirement for developer. Apply now with resume,1
Yes,None,None,Yes,Yes,No,None,Yes,No,None,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Average,Yahoo,Inactive,None,LinkedIn,High,No,Poor,Video,WhatsApp,No,Has Questions,Active,None,Present,No,Yes,None,Frontend developer required - html css js,0
None,Yes,No,No,No,No,Yes,No,Yes,No,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Poor,Yahoo,Inactive,None,Indeed,High,Yes,Poor,Video,Call,No,Has Questions,Inactive,Positive,Present,Yes,Yes,No,Frontend developer required - html css js,0
None,None,No,No,Yes,No,No,None,None,No,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Good,Outlook,Active,Many,Telegram,Realistic,No,Good,Phone,Call,No,Has Questions,Inactive,None,None,No,Yes,None,Urgent requirement for developer. Apply now with resume,0
None,No,No,None,None,None,No,Yes,None,No,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Poor,Company Domain,Inactive,None,LinkedIn,Realistic,No,Good,Video,WhatsApp,Yes,Has Questions,Inactive,Negative,Present,Yes,Yes,No,Hiring marketing executive with good comm skills and sales experience,0
No,No,No,None,No,None,Yes,No,No,No,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Average,Gmail,Inactive,None,Indeed,Realistic,Yes,Average,In-Person,Call,No,Has Questions,Active,Negative,Present,Yes,Yes,Yes,Frontend developer required - html css js,1
None,Yes,None,No,None,No,None,Yes,None,Yes,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Poor,Yahoo,Active,Many,Naukri,Realistic,No,Good,Phone,Call,No,Has Questions,Active,Negative,Present,Yes,None,No,Frontend developer required - html css js,1
No,Yes,No,None,Yes,No,None,No,No,None,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Average,Yahoo,Inactive,None,Telegram,Realistic,No,Good,Video,Telegram,No,Has Questions,Inactive,None,None,No,No,Yes,Job opening in finance. CA preferred. Salary competitive,1
No,No,Yes,None,None,Yes,None,No,No,No,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Average,Yahoo,Inactive,None,Telegram,Realistic,Yes,Good,Video,Email,No,Has Questions,Inactive,Negative,None,No,None,None,Job opening in finance. CA preferred. Salary competitive,1
No,Yes,None,None,No,No,Yes,None,None,No,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Poor,Yahoo,Active,None,LinkedIn,Low,No,Good,In-Person,WhatsApp,No,Has Questions,Active,None,None,No,Yes,Yes,Frontend developer required - html css js,0
Yes,Yes,None,None,Yes,None,No,Yes,No,Yes,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Excellent,Gmail,Inactive,Few,Naukri,High,Yes,Good,Video,Call,Yes,Has Questions,Inactive,Positive,None,Yes,None,No,Hiring marketing executive with good comm skills and sales experience,0
Yes,No,Yes,No,None,No,No,None,No,Yes,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Average,Outlook,Inactive,Many,WhatsApp,High,No,Average,In-Person,WhatsApp,Yes,Has Questions,Inactive,Positive,None,Yes,Yes,Yes,Job opening in finance. CA preferred. Salary competitive,0
None,Yes,None,None,None,Yes,None,Yes,No,None,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Average,Company Domain,Active,Many,Naukri,Low,Yes,Average,Phone,Call,Yes,Has Questions,Inactive,None,Present,No,Yes,Yes,Urgent requirement for developer. Apply now with resume,0
Yes,None,No,No,No,No,None,None,No,Yes,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Good,Company Domain,Active,None,Naukri,High,No,Average,Phone,Call,No,Has Questions,Inactive,Negative,Present,Yes,No,No,Job opening in finance. CA preferred. Salary competitive,1
None,None,None,None,No,No,None,None,No,None,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Good,Outlook,Active,Few,Naukri,Realistic,Yes,Good,In-Person,Email,Yes,Has Questions,Inactive,Negative,Present,Yes,Yes,None,Frontend developer required - html css js,1
None,No,Yes,No,None,None,No,No,No,No,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Poor,Gmail,Active,None,WhatsApp,Low,Yes,Poor,Phone,Telegram,No,Has Questions,Inactive,None,None,Yes,Yes,Yes,Hiring marketing executive with good comm skills and sales experience,1
No,None,No,None,No,No,Yes,Yes,Yes,No,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Average,Gmail,Active,Few,WhatsApp,High,Yes,Good,None,WhatsApp,No,Has Questions,Inactive,Negative,Present,No,None,No,Job opening in finance. CA preferred. Salary competitive,1
Yes,No,Yes,No,Yes,None,Yes,None,None,Yes,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Poor,Yahoo,Inactive,Many,Indeed,High,Yes,Good,Video,Email,Yes,Has Questions,Inactive,Positive,None,Yes,Yes,Yes,Frontend developer required - html css js,1
Yes,None,No,No,None,No,None,Yes,Yes,Yes,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Poor,Gmail,Inactive,None,Telegram,Low,Yes,Good,Phone,Call,Yes,Has Questions,Active,None,None,No,None,No,Hiring marketing executive with good comm skills and sales experience,1
No,None,Yes,Yes,None,None,None,No,No,Yes,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Excellent,Outlook,Active,Few,WhatsApp,Realistic,Yes,Average,None,WhatsApp,No,Has Questions,Inactive,Positive,Present,No,Yes,Yes,Urgent requirement for developer. Apply now with resume,1
None,None,Yes,None,None,None,Yes,No,Yes,None,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Good,Company Domain,Active,None,WhatsApp,High,No,Average,In-Person,WhatsApp,No,Has Questions,Inactive,Negative,None,Yes,Yes,None,Urgent requirement for developer. Apply now with resume,1
Yes,Yes,No,None,Yes,None,None,None,None,None,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Average,Gmail,Inactive,Few,LinkedIn,Low,No,Poor,In-Person,Email,No,Has Questions,Active,Positive,Present,No,Yes,None,Urgent requirement for developer. Apply now with resume,0
No,Yes,Yes,No,No,Yes,No,Yes,None,Yes,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Poor,Yahoo,Inactive,None,Telegram,Low,Yes,Poor,Phone,Call,No,Has Questions,Inactive,None,None,Yes,Yes,No,Hiring marketing executive with good comm skills and sales experience,0
No,No,Yes,Yes,None,Yes,Yes,No,No,No,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Average,Company Domain,Inactive,None,Indeed,Low,Yes,Good,In-Person,Call,Yes,Has Questions,Active,None,Present,Yes,No,None,Urgent requirement for developer. Apply now with resume,0
None,None,No,No,None,No,Yes,Yes,None,None,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Excellent,Company Domain,Active,Few,Indeed,Low,Yes,Average,None,Call,No,Has Questions,Active,Negative,None,No,None,No,Looking for software engineer with 2+ years experience in python and django,1
Yes,None,None,Yes,No,None,Yes,No,No,None,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Poor,Company Domain,Inactive,None,Telegram,Low,No,Average,Phone,Call,Yes,Has Questions,Active,None,Present,Yes,Yes,No,Looking for software engineer with 2+ years experience in python and django,1
None,No,None,No,No,None,No,Yes,Yes,No,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Average,Yahoo,Inactive,Few,WhatsApp,Realistic,Yes,Average,In-Person,Email,Yes,Has Questions,Active,None,None,No,No,Yes,Job opening in finance. CA preferred. Salary competitive,1
Yes,Yes,No,None,No,No,No,Yes,No,None,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Poor,Gmail,Active,Few,Naukri,Realistic,No,Average,In-Person,Email,Yes,Has Questions,Active,Positive,Present,Yes,None,No,Urgent requirement for developer. Apply now with resume,0
None,No,Yes,None,Yes,No,Yes,Yes,None,No,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Poor,Outlook,Active,None,WhatsApp,High,Yes,Average,Video,Telegram,No,Has Questions,Inactive,Negative,None,No,None,Yes,Looking for software engineer with 2+ years experience in python and django,0
Yes,No,No,No,No,No,No,None,None,None,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Excellent,Company Domain,Inactive,Many,Telegram,Low,No,Good,None,Email,No,Has Questions,Inactive,None,Present,Yes,No,No,Urgent requirement for developer. Apply now with resume,1
None,No,None,None,None,Yes,No,None,Yes,None,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Excellent,Gmail,Active,None,WhatsApp,High,No,Poor,None,Telegram,Yes,Has Questions,Active,Positive,None,No,No,None,Urgent requirement for developer. Apply now with resume,0
None,None,Yes,No,Yes,None,No,Yes,None,Yes,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Poor,Outlook,Active,Many,Telegram,High,Yes,Good,In-Person,WhatsApp,No,Has Questions,Inactive,None,Present,Yes,Yes,Yes,Job opening in finance. CA preferred. Salary competitive,0
